train_fraction,classifier,n_folds_used,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,mean_f1_macro,std_f1_macro,mean_f1_weighted,std_f1_weighted,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_specificity_macro,std_specificity_macro,mean_balanced_accuracy,std_balanced_accuracy
0.1,Logistic Regression,50,0.846103896103896,0.07296055805682193,0.9557142857142857,0.04571402887135467,0.9880086580086581,0.024387643561843742,0.7854684482184482,0.10179135181530669,0.8294931220775377,0.07530605677105784,0.8002886904761906,0.1101734707545185,0.8005416666666666,0.0963944034850708,0.976610122119023,0.010686127486520083,0.8005416666666666,0.0963944034850708
0.1,k-Nearest Neighbours,50,0.7579220779220779,0.06814146811149441,0.898961038961039,0.05976797379210824,0.9527272727272726,0.041536993464109044,0.6084985431235431,0.1101948081684768,0.7060852293449696,0.0822481347355696,0.609828373015873,0.12607957079373527,0.635125,0.10363641399956552,0.9617012752469409,0.011158597794836677,0.635125,0.10363641399956552
0.3,Logistic Regression,50,0.9086153846153846,0.0314539204619398,0.980923076923077,0.01661049989247575,0.9950769230769231,0.008477934734938856,0.8928684811837441,0.04315352697491663,0.907194295797837,0.03251088569399012,0.9089825082897839,0.038129930371166604,0.8930759061200237,0.0437467634426417,0.9863227425644522,0.004698384821530346,0.8930759061200237,0.0437467634426417
0.3,k-Nearest Neighbours,50,0.8498461538461538,0.03605467543632506,0.9538461538461539,0.02709632528777572,0.9732307692307692,0.022372287790005344,0.7913818632136004,0.059859065306269534,0.8304164150595555,0.04058609795163053,0.8548016551694368,0.055138365248191525,0.7812397875816994,0.05609766023499432,0.9756778161922897,0.005265301665794109,0.7812397875816994,0.05609766023499432
0.5,Logistic Regression,50,0.9287733605164797,0.021868882239942135,0.987081209650017,0.00791736967033613,0.9972290180088345,0.004275768554546582,0.9218385821341041,0.026078750240640533,0.9284781093059113,0.021880041794080592,0.9271449921922675,0.02573429215427126,0.9232796646952326,0.028234142387297136,0.9893818425833766,0.0032304166162478967,0.9232796646952326,0.028234142387297136
0.5,k-Nearest Neighbours,50,0.8848759768943255,0.029267176226855988,0.975270132517839,0.01425607423112906,0.9856082229018008,0.011340780112348178,0.8491767154607035,0.04410232889880046,0.8726022805216119,0.03505290699653667,0.8957840419903278,0.035783922604784996,0.8352112191821678,0.04253637991678809,0.9813417861628004,0.0048387698616099584,0.8352112191821678,0.04253637991678809
0.7,Logistic Regression,50,0.9357110491460439,0.019055852641136878,0.9888009759498082,0.00823329421928844,0.9973666782851167,0.004204813929151997,0.9297209346589045,0.0230673898292718,0.9356817225300837,0.01922250751804752,0.9323026647952843,0.023828678945114014,0.9317690137633013,0.0247598043969859,0.9904272880182305,0.0028557115907096317,0.9317690137633013,0.0247598043969859
0.7,k-Nearest Neighbours,50,0.8997350993377483,0.020024352545610295,0.9789220982920878,0.009775883467153147,0.986561519693273,0.007867292192878834,0.8667310747912679,0.031362573171755476,0.8876211601182998,0.0238594823987049,0.9044638296644558,0.025058280700300813,0.8539417706764305,0.031156788055185947,0.9833580425940256,0.0033671028816212555,0.8539417706764305,0.031156788055185947
1.0,Logistic Regression,50,0.9413824884792626,0.01593751757880081,0.9900460829493087,0.006270378354070153,0.9986175115207374,0.002674140357023019,0.9367771316271595,0.01730813426164034,0.9416783876729644,0.015663409686937097,0.9361500345616405,0.01840293318435637,0.9396592751583677,0.01742510947513411,0.9913221835046404,0.002323722334167912,0.9396592751583677,0.01742510947513411
1.0,k-Nearest Neighbours,50,0.9069124423963133,0.015269800532907427,0.9846082949308755,0.008563830669188519,0.9903225806451613,0.0061931822653807835,0.8830760130323833,0.020373235813456732,0.8983548230199767,0.01639775722739689,0.9127792745191613,0.01587794216106891,0.868287854062355,0.022365766990547924,0.9847228886915478,0.002405351132506207,0.868287854062355,0.022365766990547924
