train_fraction,classifier,n_folds_used,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,mean_f1_macro,std_f1_macro,mean_f1_weighted,std_f1_weighted,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_specificity_macro,std_specificity_macro,mean_balanced_accuracy,std_balanced_accuracy
0.1,Logistic Regression,50,0.6566515851294332,0.013931629920098753,0.7775830054738283,0.011357006243221661,0.8345547097730642,0.008242588502714506,0.6586098393665841,0.013834431894550992,0.6574800320626194,0.013715712858702924,0.6681932497369131,0.013744768481566316,0.65762,0.014139519106698101,0.9929916452988139,0.0002843645242309239,0.65762,0.014139519106698101
0.1,k-Nearest Neighbours,50,0.6382673480442468,0.012388591613534209,0.7437200079826662,0.009565081632154887,0.7949694520469837,0.00983665933100272,0.6432114673232442,0.010966770941232702,0.6425306683970453,0.010696088510641157,0.6693478828800619,0.01090336768146859,0.6425962801932367,0.011199126257503158,0.9927125757153759,0.0002211025178942854,0.6425962801932367,0.011199126257503158
0.3,Logistic Regression,50,0.6942777370162737,0.008170664398168444,0.810859122701625,0.006239687201572137,0.8624766848154296,0.005749725329913542,0.6954197388975681,0.008011553346514419,0.6943655528505136,0.008062098637041578,0.6983743509607716,0.007786729024987682,0.6952673023582107,0.008215857372229301,0.9937596694569794,0.0001668044645171551,0.6952673023582107,0.008215857372229301
0.3,k-Nearest Neighbours,50,0.7086929424028076,0.006448262376827788,0.7988634679571046,0.006491513292811908,0.8414505206787463,0.005924425066202688,0.712141019298312,0.007108848966520574,0.7109796757936856,0.00702214745208516,0.7262803600649778,0.0070827344793853945,0.7110903777453995,0.007073574406709412,0.9940949160767322,0.00014348109758787825,0.7110903777453995,0.007073574406709412
0.5,Logistic Regression,50,0.7184996908805488,0.005278623920830718,0.8295522708171295,0.00469813345299409,0.8787893030424762,0.004278545363994736,0.7190039844763703,0.005082603239828936,0.7181249012874619,0.005204167524088909,0.7201882340858943,0.004989442610245758,0.7195180892356943,0.005230149678250994,0.9942541515543014,0.00010778401502981832,0.7195180892356943,0.005230149678250994
0.5,k-Nearest Neighbours,50,0.7382182964526762,0.005977180213499094,0.8237054464852975,0.0052722967782250375,0.8624974988390214,0.004946911772433624,0.7410281556556477,0.0057884469359969085,0.7398833188545111,0.005718219567924579,0.751817044313419,0.005904675404246009,0.7401701060424171,0.005854105952848645,0.9946890107359365,0.00011681398285965198,0.7401701060424171,0.005854105952848645
0.7,Logistic Regression,50,0.7339739570774054,0.005250689271871956,0.8410537738123945,0.004296744939575709,0.8875452134072823,0.003762857071154932,0.7342969871463975,0.0052538900227037935,0.7335745790615478,0.005258248059960237,0.7347316842968011,0.005309134319738426,0.7350163246032596,0.005280961595738809,0.994570074655101,0.00010718116732834054,0.7350163246032596,0.005280961595738809
0.7,k-Nearest Neighbours,50,0.755997106341934,0.004344624392524814,0.8374367012298047,0.0035385684313107646,0.8729611767542802,0.003174258988962005,0.7593120244240192,0.00457723259615765,0.7580967720061708,0.00454302825852062,0.7680811239888172,0.0046063014434233746,0.7585695572319008,0.00459587726733295,0.9950595370284617,9.227382285276592e-05,0.7585695572319008,0.00459587726733295
1.0,Logistic Regression,50,0.7481550996277774,0.0033842904497760097,0.8524880332183578,0.0033826454087151816,0.8970191112917674,0.002693943083009508,0.748231479532433,0.0033939777655118716,0.747665394093787,0.003396742194585304,0.7482074891362346,0.003459559735313152,0.7491995725213262,0.003347748393840372,0.9948595961622064,6.906540586230784e-05,0.7491995725213262,0.003347748393840372
1.0,k-Nearest Neighbours,50,0.774783943738589,0.0028460225827335356,0.8516221121461487,0.002685063783733437,0.8845385364588584,0.002521325950095523,0.7770487768203183,0.003208179848114082,0.7759273183761478,0.003233228477981059,0.784476718945163,0.0029697514933299082,0.7764148450879296,0.0033111826444959624,0.9954243362576126,6.700163111831359e-05,0.7764148450879296,0.0033111826444959624
