train_fraction,classifier,n_folds_used,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,mean_f1_macro,std_f1_macro,mean_f1_weighted,std_f1_weighted,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_specificity_macro,std_specificity_macro,mean_balanced_accuracy,std_balanced_accuracy
0.1,Logistic Regression,18,0.7563563563563563,0.020632336607268074,0.8813813813813813,0.01209869798616235,0.9308308308308307,0.010251172546536066,0.6190816564760016,0.04124957743160457,0.7601554482731077,0.019898933063150086,0.6308340894634511,0.04684012584555855,0.6449054619890267,0.043942211794184845,0.9925520948534202,0.0006300542901041365,0.6631280223245201,0.03685740965820143
0.1,k-Nearest Neighbours,18,0.6996996996996997,0.016032641668109457,0.8193193193193193,0.013092623105774446,0.8694694694694695,0.011907334038052827,0.4853802026696959,0.03849818681185279,0.6826968150452096,0.018127315826635612,0.5540122861995855,0.056032987589436464,0.4735409947533433,0.03395263218917698,0.9905040149175925,0.0005024771160249986,0.47710012905188737,0.03299803610750167
0.3,Logistic Regression,41,0.7852075515947466,0.009466790159238457,0.9079795966228893,0.008513946555075756,0.951204854596623,0.005913014941513209,0.6439310913092515,0.028445340196719338,0.7914662406986507,0.00897799894521381,0.6317542693930337,0.02976185124348465,0.6871732821759479,0.03601128642675337,0.9934809607307274,0.000291693122831363,0.7012239720563408,0.03416044971523103
0.3,k-Nearest Neighbours,41,0.744327509380863,0.009635129198734983,0.8493492026266416,0.008475943114596781,0.8912113039399624,0.0071845546408536316,0.5382420302388707,0.025432502515812992,0.734939652730943,0.00939495914521951,0.6253172627949646,0.03895113863582801,0.5080623244742055,0.023460413220635346,0.9919729387081344,0.0002890975230072566,0.5092470402438474,0.023816583339870304
0.5,Logistic Regression,50,0.7984709700685179,0.00799109695581226,0.9177785791561486,0.005405622951759184,0.9561846375766317,0.004449754570013779,0.6688261896596558,0.020039625542966333,0.8052314412142494,0.007712092927163416,0.6458818999715875,0.01983273227638676,0.7171460320678418,0.02737715714196093,0.9939028647317493,0.0002456162966098317,0.7175484459618338,0.027027197509018757
0.5,k-Nearest Neighbours,50,0.7609376126938333,0.006607804983693407,0.8656401009736747,0.005369706724719877,0.9040966462315183,0.004401877080287479,0.5504559980462173,0.01559212569974874,0.7536488115598066,0.007326144451128646,0.6441592395351131,0.026181850529975213,0.5150534529912795,0.013839607119829405,0.9925190722402575,0.0002283690028180629,0.5150534529912795,0.013839607119829405
0.7,Logistic Regression,50,0.8033693972179289,0.006307383875982796,0.9204636785162288,0.0043609211315676615,0.9584286450283359,0.0033642781617356943,0.6843358729776864,0.023285903148914985,0.8109391068540275,0.006008946413068808,0.6549366732501106,0.022404481174764828,0.7412485274689387,0.02780207054256284,0.994065897979318,0.00018790314270074288,0.7412485274689387,0.02780207054256284
0.7,k-Nearest Neighbours,50,0.7714580113343638,0.00670263159048819,0.873323029366306,0.004838466653775647,0.9098196805770222,0.004404267959435859,0.5765147923843039,0.020600816708877062,0.7653292162212262,0.006673650409089306,0.671216650965536,0.030255325907370588,0.5394152455303148,0.018328777145167337,0.9928584285866867,0.00020474138970664603,0.5394152455303148,0.018328777145167337
1.0,Logistic Regression,50,0.8084493328525063,0.004495978793266741,0.9258564731337902,0.0028144133490523872,0.9617778579156149,0.0025741816185705087,0.6951879501457191,0.026901537330153227,0.8165491531568186,0.004215898355603506,0.6598879961490544,0.02589820513345105,0.7633701879030567,0.031269016120292786,0.9942290653200105,0.0001330645198816966,0.7633701879030567,0.031269016120292786
1.0,k-Nearest Neighbours,50,0.782542372881356,0.005014065623792599,0.8814028128380815,0.0038685612684611717,0.9155066714749368,0.0033207608818676716,0.6031363673346881,0.01821682180788215,0.7767124174794899,0.004713762176910348,0.7069814793234654,0.025449515131663814,0.5630446545184058,0.016704039085752673,0.9931867530611167,0.00014212399407141334,0.5630446545184058,0.016704039085752673
