train_fraction,classifier,n_folds_used,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,mean_f1_macro,std_f1_macro,mean_f1_weighted,std_f1_weighted,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_specificity_macro,std_specificity_macro,mean_balanced_accuracy,std_balanced_accuracy
0.1,Logistic Regression,50,0.8592207792207792,0.06831048010781918,0.9685281385281386,0.03655332436960288,0.9888744588744589,0.022012995482833118,0.8034239094239094,0.09369470592992636,0.8404398809463745,0.07222051927738402,0.8150654761904762,0.09926004582193779,0.8241666666666667,0.08394862138085434,0.9785972805788983,0.010013303279561772,0.8241666666666667,0.08394862138085434
0.1,k-Nearest Neighbours,50,0.7751948051948052,0.0689361467282675,0.9241558441558442,0.0534734947225286,0.9603030303030303,0.04479794933633946,0.6447767718392718,0.12029308240282463,0.7343434574083925,0.09111080115640142,0.647345238095238,0.13862397157143677,0.6704583333333334,0.10786273538796493,0.9653000976706473,0.012252579612049057,0.6704583333333334,0.10786273538796493
0.3,Logistic Regression,50,0.9172307692307693,0.02913891210266348,0.9901538461538462,0.009710207487637137,0.9978461538461539,0.0053924589654440625,0.9041543450417691,0.03663706644108755,0.9151481988464333,0.02973942152947122,0.9216252038617557,0.033273861375722844,0.8995521019013666,0.038408388394704035,0.9873935320429018,0.004383682728578017,0.8995521019013666,0.038408388394704035
0.3,k-Nearest Neighbours,50,0.8713846153846154,0.034994090967024424,0.9747692307692308,0.019843610268651807,0.9864615384615385,0.013419197821954937,0.8156624271543294,0.058218970185146636,0.8518937374689379,0.041258308694011946,0.8752150835322527,0.0611549032169751,0.8036905451574569,0.05666566405258283,0.9788990198645365,0.005677580084703933,0.8036905451574569,0.05666566405258283
0.5,Logistic Regression,50,0.9315426435609921,0.019399070468694452,0.9922562011552837,0.00860266506266748,0.9987071015970099,0.003236986803644602,0.9259633946304549,0.02294816739589622,0.9309341778486933,0.019853436391894345,0.9324585743161414,0.02057414489831617,0.9243498271475745,0.02566784337328803,0.9896458699964791,0.0029705164773359462,0.9243498271475745,0.02566784337328803
0.5,k-Nearest Neighbours,50,0.8948369011213048,0.03006633808081715,0.9806286102616377,0.014713169084584305,0.9889347604485219,0.010201417735094295,0.8660268897714724,0.04129334495432297,0.8869237538235043,0.03206427077100708,0.9074700960939169,0.03876291137335075,0.8521982952355404,0.04185831668184992,0.983434393534547,0.004627190960838264,0.8521982952355404,0.04185831668184992
0.7,Logistic Regression,50,0.9384820494945975,0.018803339156004538,0.9934114674102474,0.0061063469091902954,0.9986833391425585,0.002660063184574474,0.9350133316987094,0.021077686462205845,0.9380785759578077,0.01903288697307223,0.9396012335359147,0.019406788750629195,0.9341454492169029,0.024359514708757152,0.990693475539071,0.0028792437321083645,0.9341454492169029,0.024359514708757152
0.7,k-Nearest Neighbours,50,0.9098745207389334,0.01965599325486229,0.9836615545486233,0.008126749427923062,0.9910395608225862,0.005765729017621682,0.8879775435863799,0.028783484372762194,0.9023911955216576,0.022748732698319094,0.9186023142686609,0.02034370930737295,0.8751793390736587,0.03127984164596415,0.9854313385906792,0.0032967780483915167,0.8751793390736587,0.03127984164596415
1.0,Logistic Regression,50,0.9430414746543779,0.01474301660065001,0.9943778801843318,0.005038681532100724,0.9988940092165899,0.0019881065004004623,0.939745771797756,0.015744007934664787,0.9428242791549121,0.014725847862751934,0.9419744609680518,0.016571087700983093,0.9401503448912705,0.016614384616605107,0.9914336426431477,0.002212758359080657,0.9401503448912705,0.016614384616605107
1.0,k-Nearest Neighbours,50,0.9212903225806451,0.017562430020311312,0.9854377880184332,0.007641141871519108,0.9910599078341014,0.005381402321971269,0.9008239074939505,0.02280153931955872,0.9130927575356771,0.01797746675596114,0.9238061115320589,0.018487154973413245,0.8882285563869048,0.02510833499142686,0.9869491912475437,0.002655781846234627,0.8882285563869048,0.02510833499142686
