Pipeline,Algorithm,n_clusters,ARI,AMI,Purity,Silhouette,DaviesBouldin,Noise Fraction,Components Used
PCA,KMeans (Known K),35,0.17877255129689845,0.4256291416292909,0.577121425222691,0.07105065137147903,2.507465769414729,0.0,50
PCA,KMeans (Unknown K),2,0.09234795738563346,0.15559370552002336,0.2665440513541779,0.11532901227474213,2.796657175593093,0.0,50
PCA,Bayesian GMM,50,0.18460260493973069,0.4871301951747161,0.6573623282484042,0.03794065862894058,2.81444703593701,0.0,50
PCA,HDBSCAN,0,0.0,0.0,0.0,,,1.0,50
Exploratory UMAP,KMeans (Known K),35,0.2505171580148365,0.5177463130835341,0.6642504237440946,0.40404215455055237,0.8222078664112527,0.0,15
Exploratory UMAP,KMeans (Unknown K),2,0.04657000430929661,0.09506265168102139,0.22590068159688412,0.7883092761039734,0.30122975182652395,0.0,15
Exploratory UMAP,Bayesian GMM,38,0.41719223527822663,0.545589372460922,0.5886256266003101,-0.0011218547588214278,1.285923572430071,0.0,15
Exploratory UMAP,HDBSCAN,3,0.05598604698928074,0.13587284234520935,0.2419127988748242,0.6234117746353149,0.3517778318326202,0.006743842186880161,15
