train_fraction,classifier,n_folds_used,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,mean_f1_macro,std_f1_macro,mean_f1_weighted,std_f1_weighted,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_specificity_macro,std_specificity_macro,mean_balanced_accuracy,std_balanced_accuracy
0.1,Logistic Regression,18,0.8104104104104104,0.01642747109852135,0.9174174174174173,0.012379556227704876,0.9546546546546547,0.008388828238309992,0.6706950990880737,0.02881751290796518,0.8108126114408143,0.015353825847665517,0.6827110868981648,0.031718364291192645,0.6870957417487871,0.026122900776480003,0.9941582178698142,0.0005029835838613255,0.7080152036134703,0.02167644291641493
0.1,k-Nearest Neighbours,18,0.711011011011011,0.017677102181091427,0.8255255255255256,0.01497645640836976,0.8718718718718719,0.013900330439595507,0.5058269037503832,0.029494618255303088,0.6901674841944682,0.01503759417832276,0.5838248146953142,0.04101615927121647,0.4876043276854057,0.02977848593108504,0.9906296329085402,0.0005062659860635053,0.4932368211439599,0.03028029308548608
0.3,Logistic Regression,41,0.8437060272045027,0.008902946779279209,0.9391269934333959,0.005170092587083546,0.9675773921200751,0.003936071493020339,0.7163184570435015,0.032436479208084255,0.8461563224719703,0.008749048748971066,0.7172165403820385,0.03650648317493797,0.7367044372816839,0.033903652559520214,0.9952231319270646,0.00027727262391850417,0.7507909408732565,0.034386185067757195
0.3,k-Nearest Neighbours,41,0.7562881097560976,0.009980393153199065,0.8606062382739211,0.008499890059009809,0.899111749530957,0.006686888968353147,0.5487444181545679,0.027876126259072823,0.7451454378415158,0.01006949760701705,0.6433349642997185,0.041248506455776164,0.5166574826582131,0.0260953603117603,0.9922562304265489,0.0003136413612479905,0.5182560650251887,0.02655156556461042
0.5,Logistic Regression,50,0.8558889289578074,0.00686470641041598,0.94693112152903,0.004484279867529815,0.9729895420122611,0.0033531709558767913,0.7264028835224835,0.02074962854455182,0.858604265047078,0.0065633204010358765,0.7150129055221541,0.02080642055909188,0.7517458858188415,0.025428041364207808,0.9956077106024857,0.0002084037761105084,0.7547495315801837,0.0238938968255112
0.5,k-Nearest Neighbours,50,0.7770789758384421,0.006904209509198942,0.8759754778218536,0.006331727715917496,0.9124486116119727,0.006233063705463027,0.568395360647305,0.017353468023361684,0.7681945270138409,0.00694320665595096,0.6696334444502924,0.02739343913619236,0.5296684980244636,0.015434666720879599,0.9929155298245541,0.00022176166106970533,0.5296684980244636,0.015434666720879599
0.7,Logistic Regression,50,0.8628954147346728,0.004839306246529227,0.9507934054611026,0.0038660864109137925,0.9756465739309634,0.0025996505781275448,0.7399575442878887,0.026239647731381016,0.8659117566011788,0.004582193159635658,0.7243782266252129,0.028072313792301955,0.770012468860467,0.027740024924488276,0.9958282870087184,0.0001451608747851909,0.770012468860467,0.027740024924488276
0.7,k-Nearest Neighbours,50,0.7873621844410098,0.004943858399412326,0.8840752189592993,0.004372993661936104,0.9171561051004636,0.004113364349692691,0.5840213932939935,0.02201011404054633,0.7789890859648603,0.005132752090385528,0.6833124073001976,0.028640804794555042,0.5461175218264058,0.02118285284805452,0.9932456658873191,0.0001599815870162891,0.5461175218264058,0.02118285284805452
1.0,Logistic Regression,50,0.8695131626397403,0.004360350409854623,0.9561521817526145,0.0021417427685131636,0.9789397764154346,0.0016069727433395736,0.7700290194153422,0.02208964558788954,0.8728591656438444,0.0041572391210763365,0.7480734604068294,0.022319706226092643,0.8087953479785207,0.02610993614953619,0.9960376471391165,0.00013247802636119738,0.8087953479785207,0.02610993614953619
1.0,k-Nearest Neighbours,50,0.7968229354489722,0.004219488282755703,0.8921312657771366,0.003074147216401075,0.9236819329246303,0.0034789949391658623,0.6034009477976136,0.017914853157703275,0.7903603772283897,0.003350787516116567,0.702818654224599,0.023521662243853148,0.5636531536611553,0.017164322531443336,0.9935751993218517,0.00010959639839080124,0.5636531536611553,0.017164322531443336
